,feat_0,feat_1,Date,Symbol,Return
3001,-9.290609,-8.587081,2017-01-18,AAPL,-8.33368e-05
3002,-9.002949,-8.653393,2017-01-19,AAPL,-0.0017516791
3003,-8.665829,-8.583762,2017-01-20,AAPL,0.001835016
3004,-8.614296,-8.661611,2017-01-23,AAPL,0.00066644454
3005,-8.10211,-8.904227,2017-01-24,AAPL,-0.0009164758
3006,-7.981252,-8.933742,2017-01-25,AAPL,0.015795242
3007,-8.143212,-8.976098,2017-01-26,AAPL,0.0004921664
3008,-8.066594,-8.950599,2017-01-27,AAPL,8.2004175e-05
3009,-8.182764,-8.97565,2017-01-30,AAPL,-0.002627475
3010,-8.005039,-8.871098,2017-01-31,AAPL,-0.0023047174
3011,-7.9192567,-8.826513,2017-02-01,AAPL,0.059193607
3012,-9.034082,-9.191843,2017-02-02,AAPL,-0.0017101994
3013,-9.413244,-9.35146,2017-02-03,AAPL,0.004270027
3014,-9.504976,-9.384586,2017-02-06,AAPL,0.009330368
3015,-9.303503,-9.328875,2017-02-07,AAPL,0.009472228
3016,-9.442602,-9.37198,2017-02-08,AAPL,0.0038699445
3017,-9.4030905,-9.37663,2017-02-09,AAPL,0.0071690306
3018,-9.587837,-9.446568,2017-02-10,AAPL,-0.002268089
3019,-9.512142,-9.40837,2017-02-13,AAPL,0.008816605
3020,-9.299284,-9.306806,2017-02-14,AAPL,0.01289571
3021,-9.252162,-9.225452,2017-02-15,AAPL,0.0036225228
3022,-9.186358,-9.1265135,2017-02-16,AAPL,-0.0012183642
3023,-9.149357,-9.113507,2017-02-17,AAPL,0.0027668658
3024,-9.353218,-9.169622,2017-02-21,AAPL,0.007194804
3025,-9.292578,-9.161491,2017-02-22,AAPL,0.0029947797
3026,-9.332354,-9.152904,2017-02-23,AAPL,-0.0042391527
3027,-9.347273,-9.169499,2017-02-24,AAPL,0.00095171866
3028,-9.465228,-9.1979685,2017-02-27,AAPL,0.001973757
3029,-9.399902,-9.201854,2017-02-28,AAPL,0.00043808413
3030,-9.340942,-9.168018,2017-03-01,AAPL,0.020233367
3031,-9.276235,-9.16543,2017-03-02,AAPL,-0.0059551746
3032,-9.334899,-9.188974,2017-03-03,AAPL,0.005883636
3033,-9.424851,-9.267659,2017-03-06,AAPL,-0.0031527684
3034,-9.323134,-9.224565,2017-03-07,AAPL,0.0012909706
3035,-9.366524,-9.2099,2017-03-08,AAPL,-0.003734027
3036,-9.383899,-9.243689,2017-03-09,AAPL,-0.0023048122
3037,-9.358232,-9.260412,2017-03-10,AAPL,0.0033114997
3038,-9.531132,-9.33812,2017-03-13,AAPL,0.0004311274
3039,-9.581153,-9.440339,2017-03-14,AAPL,-0.0015097598
3040,-9.468092,-9.419389,2017-03-15,AAPL,0.010520763
3041,-9.610639,-9.479014,2017-03-16,AAPL,0.0016361376
3042,-9.693758,-9.509653,2017-03-17,AAPL,-0.004987897
3043,-9.71197,-9.552096,2017-03-20,AAPL,0.010446
3044,-9.791739,-9.669044,2017-03-21,AAPL,-0.01151808
3045,-9.279623,-9.4133835,2017-03-22,AAPL,0.011235274
3046,-9.347408,-9.405173,2017-03-23,AAPL,-0.0035418328
3047,-9.325536,-9.443027,2017-03-24,AAPL,-0.0019889195
3048,-9.429204,-8.80778,2017-03-27,AAPL,0.0017050302
3049,-9.297309,-8.766487,2017-03-28,AAPL,0.020514982
3050,-9.319539,-8.732666,2017-03-29,AAPL,0.0022228407
3051,-9.287988,-8.680081,2017-03-30,AAPL,-0.0013192156
3052,-9.412547,-8.6869545,2017-03-31,AAPL,-0.0018776737
3053,-9.583429,-8.724744,2017-04-03,AAPL,0.00027839644
3054,-9.492896,-8.710563,2017-04-04,AAPL,0.007418483
3055,-9.576306,-8.702727,2017-04-05,AAPL,-0.0051940973
3056,-9.478005,-8.710956,2017-04-06,AAPL,-0.0025027823
3057,-9.515222,-8.737235,2017-04-07,AAPL,-0.002229966
3058,-9.569057,-8.756421,2017-04-10,AAPL,-0.0011866952
