,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,Date,Ticker,Return
1500,-10.543832,-10.61443,-11.444913,-11.06492,-10.888527,-11.114787,-11.797876,-11.403997,-8.907291,-10.204812,2021-12-31,AAPL,-0.0035416177
1501,-10.135225,-10.28334,-10.859699,-10.797992,-10.428991,-10.364058,-11.1377945,-11.106716,-7.669014,-9.475742,2022-01-03,AAPL,0.024696734
1502,-9.61118,-9.737247,-10.018856,-10.705382,-9.458709,-9.459306,-9.724052,-10.915171,-6.7994776,-6.593027,2022-01-04,AAPL,-0.012772837
1503,-9.528827,-9.581941,-10.5090475,-9.999194,-9.364866,-9.353107,-10.695669,-9.67175,-7.3688006,-6.72444,2022-01-05,AAPL,-0.026960067
1504,-9.369597,-9.426589,-10.231736,-9.918223,-9.490729,-9.536535,-10.723131,-9.835462,-7.0114,-7.567161,2022-01-06,AAPL,-0.01683425
1505,-9.124521,-9.118186,-9.831021,-9.80449,-8.895596,-9.121285,-9.550496,-9.6285095,-6.7505736,-5.751318,2022-01-07,AAPL,0.000987884
1506,-9.412576,-9.436777,-10.171003,-10.044441,-9.359712,-9.45583,-10.046103,-10.05966,-7.1648364,-6.815777,2022-01-10,AAPL,0.00011615751
1507,-8.65403,-8.907996,-9.164382,-9.57103,-9.046371,-9.0451765,-9.635068,-9.856164,-4.133974,-6.9676867,2022-01-11,AAPL,0.016644495
1508,-9.170662,-9.219261,-9.887532,-9.840634,-9.242931,-9.343749,-9.848603,-10.031943,-6.374475,-6.955586,2022-01-12,AAPL,0.0025669562
1509,-9.65427,-9.709383,-10.419008,-10.280608,-10.006076,-10.079215,-10.7313795,-10.668064,-7.614247,-8.801663,2022-01-13,AAPL,-0.01921145
1510,-9.402233,-9.409748,-10.2571335,-9.9561825,-9.609985,-9.821617,-11.045272,-9.881854,-7.3903294,-7.4513407,2022-01-14,AAPL,0.005097619
1511,-9.141662,-9.233452,-9.752701,-9.924265,-9.327616,-9.286696,-9.89254,-10.167877,-6.4975057,-7.258128,2022-01-18,AAPL,-0.019074863
1512,-9.241805,-9.2893915,-9.98113,-9.89081,-9.204786,-9.227105,-10.141137,-9.702457,-6.319902,-6.518273,2022-01-19,AAPL,-0.021248903
1513,-9.392056,-9.359381,-10.184216,-9.995115,-9.483749,-9.538403,-10.421135,-9.980752,-7.5173583,-7.8270636,2022-01-20,AAPL,-0.010401013
1514,-9.435438,-9.507203,-10.251748,-10.01894,-9.440604,-9.707086,-10.159275,-10.108861,-7.3455725,-6.9709706,2022-01-21,AAPL,-0.0128473565
1515,-8.38499,-8.520089,-9.093433,-9.063069,-8.468313,-8.353728,-9.245558,-9.08389,-5.156751,-5.5912504,2022-01-24,AAPL,-0.0048761014
1516,-7.901672,-7.9024215,-8.572028,-8.618141,-7.8894877,-7.7506566,-8.548295,-8.618196,-4.702777,-4.980846,2022-01-25,AAPL,-0.011450032
1517,-8.35164,-8.357456,-9.129245,-8.966909,-8.497544,-8.683598,-9.167562,-9.214368,-4.9585233,-5.9977717,2022-01-26,AAPL,-0.0005634332
1518,-8.078399,-8.067129,-8.820301,-8.725058,-7.7966857,-7.7598376,-8.939219,-8.180893,-4.3378124,-3.9255319,2022-01-27,AAPL,-0.0029475421
1519,-8.556743,-8.631077,-9.322057,-9.182582,-8.520473,-8.464303,-9.1179285,-9.319445,-5.884964,-5.757135,2022-01-28,AAPL,0.06745084
1520,-8.306415,-8.32549,-9.026087,-8.9737215,-8.302902,-8.608115,-8.960123,-9.033313,-4.0360417,-4.514867,2022-01-31,AAPL,0.025790308
1521,-9.054171,-9.019149,-9.606312,-9.91152,-9.529698,-9.828831,-9.82656,-10.888945,-5.341777,-7.6913896,2022-02-01,AAPL,-0.00097312464
1522,-9.342013,-9.26672,-10.158954,-9.925016,-9.727749,-9.736561,-10.38614,-10.456902,-6.8295927,-8.024786,2022-02-02,AAPL,0.007019575
1523,-9.371567,-9.486797,-10.088038,-10.04192,-9.603968,-9.496162,-10.183404,-10.425432,-6.9610415,-8.187314,2022-02-03,AAPL,-0.016861098
1524,-9.317926,-9.299097,-10.043774,-9.979407,-9.370617,-9.537569,-10.361577,-9.834588,-6.9992685,-7.2407494,2022-02-04,AAPL,-0.0016786783
1525,-9.194761,-9.268262,-9.912984,-9.863445,-9.381948,-9.409932,-10.047238,-10.103747,-6.725503,-7.4935164,2022-02-07,AAPL,-0.0042435755
1526,-9.611519,-9.625979,-10.342245,-10.268445,-9.625937,-9.61827,-10.312418,-10.325793,-7.7132893,-8.101965,2022-02-08,AAPL,0.018298296
1527,-9.742194,-9.78728,-10.3056965,-10.584331,-10.02535,-10.016147,-10.421004,-11.143868,-7.9562955,-9.035913,2022-02-09,AAPL,0.0082595665
1528,-10.125713,-10.14814,-10.809013,-10.8288,-10.292478,-10.257994,-11.043786,-10.930656,-8.599532,-9.444299,2022-02-10,AAPL,-0.023881732
1529,-9.405082,-9.574102,-10.214022,-9.994461,-9.651815,-9.970169,-10.652497,-10.110091,-6.3339996,-7.6884894,2022-02-11,AAPL,-0.020425642
1530,-8.833923,-8.853884,-9.552376,-9.502388,-9.056522,-9.258849,-10.0211115,-9.536397,-6.27155,-6.8871155,2022-02-14,AAPL,0.0014221382
1531,-8.82342,-8.947784,-9.373868,-9.683073,-9.003114,-9.145578,-9.580938,-9.826635,-5.7119074,-6.6372147,2022-02-15,AAPL,0.02288858
1532,-10.238739,-10.303831,-10.858306,-11.011307,-10.518367,-10.498775,-10.984173,-11.506222,-8.98095,-10.001052,2022-02-16,AAPL,-0.0013899348
1533,-9.724829,-9.689473,-10.412123,-10.423861,-9.776884,-9.737112,-10.455681,-10.484588,-7.3489785,-8.308377,2022-02-17,AAPL,-0.021498647
1534,-10.032939,-10.072241,-10.7992525,-10.657906,-10.307753,-10.645035,-11.393201,-10.719861,-8.237265,-9.239981,2022-02-18,AAPL,-0.009399796
1535,-9.412662,-9.495673,-10.172277,-10.043482,-9.385809,-9.489574,-10.295359,-9.901153,-7.4250383,-7.678496,2022-02-22,AAPL,-0.017972862
1536,-8.967938,-9.013189,-9.654958,-9.667249,-8.914871,-8.93347,-9.486288,-9.746647,-6.36761,-6.6472926,2022-02-23,AAPL,-0.026204526
1537,-9.425763,-9.460326,-10.265322,-9.991221,-9.574472,-9.814354,-10.898321,-9.883865,-7.5639358,-7.9423866,2022-02-24,AAPL,0.016542615
1538,-8.089709,-8.205257,-8.546533,-9.092899,-7.7760553,-7.8509126,-8.081368,-9.111246,-4.5160866,-4.262235,2022-02-25,AAPL,0.012882134
1539,-9.079049,-9.053919,-9.892921,-9.664486,-9.193518,-9.361053,-9.949162,-9.827844,-6.3317895,-6.575399,2022-02-28,AAPL,0.0016365128
1540,-9.049133,-9.144619,-9.621735,-9.879373,-8.942081,-8.925662,-9.632353,-9.638112,-6.676015,-6.7902813,2022-03-01,AAPL,-0.01169604
1541,-9.106846,-9.169365,-9.713017,-9.895258,-8.931612,-9.020701,-9.44356,-9.84622,-6.7319694,-6.441539,2022-03-02,AAPL,0.020379161
1542,-9.259546,-9.329703,-9.785168,-10.154044,-8.941161,-9.333134,-9.598962,-9.670948,-6.1819415,-6.192336,2022-03-03,AAPL,-0.0019832333
1543,-9.243092,-9.290349,-9.935501,-9.936976,-9.336354,-9.532487,-10.144301,-9.926532,-6.8633704,-6.980158,2022-03-04,AAPL,-0.01857977
1544,-9.140056,-9.1895075,-9.899041,-9.771431,-9.087998,-9.145348,-9.826642,-9.737627,-7.041827,-6.878821,2022-03-07,AAPL,-0.024003385
1545,-8.869773,-8.976992,-9.499364,-9.630789,-9.095774,-9.163777,-10.267942,-9.466393,-5.341297,-7.1655536,2022-03-08,AAPL,-0.011744783
1546,-7.948024,-7.996631,-8.58278,-8.703183,-7.9250717,-7.8889647,-8.606938,-8.629628,-4.189605,-4.878459,2022-03-09,AAPL,0.034398973
1547,-9.006361,-9.06737,-9.822611,-9.589911,-9.007567,-9.169677,-9.997428,-9.47219,-5.7804203,-5.646104,2022-03-10,AAPL,-0.027562637
1548,-9.206966,-9.27169,-9.934691,-9.866691,-8.915818,-9.100742,-9.622743,-9.595375,-7.103541,-6.637904,2022-03-11,AAPL,-0.024199106
1549,-9.075128,-9.081114,-10.0207205,-9.566883,-9.249377,-9.278149,-10.465212,-9.601009,-6.3065214,-7.1836476,2022-03-14,AAPL,-0.026921554
1550,-8.779706,-8.83024,-9.424694,-9.523449,-9.026022,-9.058337,-9.6447935,-9.799522,-5.214353,-7.110739,2022-03-15,AAPL,0.029245485
1551,-9.199143,-9.231361,-9.820506,-9.969626,-8.996513,-9.041867,-9.443236,-10.017387,-6.942764,-6.6690598,2022-03-16,AAPL,0.028602432
1552,-8.731703,-8.818974,-9.384722,-9.466656,-8.628995,-8.603621,-9.203159,-9.457216,-5.5784106,-6.1167083,2022-03-17,AAPL,0.0064333
1553,-9.42033,-9.5745125,-9.950316,-10.308548,-9.393226,-9.528579,-9.823186,-10.444572,-6.784466,-7.5090604,2022-03-18,AAPL,0.020703143
1554,-9.627086,-9.678278,-10.21253,-10.4409485,-9.758247,-9.733407,-10.115856,-10.960038,-7.7761517,-8.186204,2022-03-21,AAPL,0.008501387
1555,-9.112467,-9.194288,-9.789989,-9.821485,-8.939809,-9.014932,-9.599499,-9.66757,-6.5526633,-6.5095754,2022-03-22,AAPL,0.020587202
1556,-9.890769,-9.956302,-10.417073,-10.784277,-9.757413,-9.856798,-10.107634,-10.976604,-8.1655035,-8.065208,2022-03-23,AAPL,0.008199911
1557,-9.5635805,-9.580414,-10.174779,-10.345992,-9.47824,-9.64854,-9.975224,-10.415657,-7.7282367,-7.713403,2022-03-24,AAPL,0.022424549
1558,-9.274587,-9.571554,-9.765158,-10.222048,-9.540696,-9.785115,-10.060664,-10.443423,-5.4636393,-7.3950534,2022-03-25,AAPL,0.0037271753
1559,-9.568143,-9.459871,-10.267148,-10.255463,-9.552076,-9.666201,-10.1877575,-10.3061905,-7.782617,-7.871796,2022-03-28,AAPL,0.0050239884
1560,-9.700843,-9.6635275,-10.198247,-10.637607,-9.477854,-9.767262,-9.787907,-10.799886,-7.670853,-6.5648756,2022-03-29,AAPL,0.018953636
1561,-9.786162,-9.728775,-10.434898,-10.52578,-10.010722,-10.075178,-10.548251,-10.888245,-7.821403,-8.7922945,2022-03-30,AAPL,-0.0066717374
1562,-9.827263,-9.941138,-10.512314,-10.528568,-9.500664,-9.554447,-10.060896,-10.347138,-7.991021,-7.2905,2022-03-31,AAPL,-0.017935665
1563,-9.591883,-9.657008,-10.535403,-10.084955,-9.586234,-9.773209,-10.972794,-9.873826,-6.7165904,-6.990458,2022-04-01,AAPL,-0.0017195923
1564,-9.556603,-9.505444,-10.106841,-10.416541,-9.519053,-9.685647,-10.0549755,-10.39884,-7.1467323,-7.0558405,2022-04-04,AAPL,0.023417087
1565,-9.967247,-10.053903,-10.330869,-11.155191,-9.5858555,-10.228073,-9.768705,-11.3749695,-7.595342,-6.3213577,2022-04-05,AAPL,-0.019123638
1566,-9.799446,-9.877518,-10.594286,-10.4002905,-9.575345,-9.73774,-10.69594,-9.969996,-7.619459,-6.8549137,2022-04-06,AAPL,-0.018623156
1567,-8.977708,-8.971693,-9.624472,-9.719494,-8.731566,-8.756809,-9.366019,-9.487067,-6.1860404,-5.5077868,2022-04-07,AAPL,0.0018024832
1568,-9.369559,-9.413479,-10.029995,-10.096521,-9.3160305,-9.539507,-9.845796,-10.204566,-7.133015,-6.9374895,2022-04-08,AAPL,-0.01198039
1569,-9.673177,-9.70326,-10.405516,-10.328608,-9.519815,-9.507099,-10.310563,-10.124043,-7.553584,-7.3585086,2022-04-11,AAPL,-0.02584708
1570,-9.766598,-9.78861,-10.635621,-10.310222,-9.852332,-10.018806,-11.133012,-10.177851,-7.634764,-7.757853,2022-04-12,AAPL,0.01145749
1571,-9.246164,-9.23762,-9.890715,-9.990389,-9.2953205,-9.492073,-9.976382,-10.000698,-6.83038,-7.3401747,2022-04-13,AAPL,0.016210495
1572,-9.857605,-9.901956,-10.4442005,-10.670021,-9.884304,-9.855677,-10.251503,-11.064137,-7.9446464,-8.397649,2022-04-14,AAPL,-0.030447107
1573,-9.703938,-9.751946,-10.754536,-10.1343,-9.5674305,-9.673816,-10.97107,-9.849396,-7.7595263,-7.6223583,2022-04-18,AAPL,-0.0013318806
1574,-9.4062,-9.390723,-9.904201,-10.342039,-9.154316,-9.596872,-9.522501,-10.331933,-6.9261966,-6.4096575,2022-04-19,AAPL,0.014016531
1575,-9.75287,-9.759533,-10.306082,-10.608766,-9.884405,-9.772669,-10.356816,-10.86123,-7.797461,-8.73648,2022-04-20,AAPL,-0.0010160477
1576,-9.570573,-9.614951,-10.461331,-10.098786,-9.538364,-9.833204,-10.60407,-9.960696,-7.6385107,-7.5297728,2022-04-21,AAPL,-0.004855397
1577,-9.158656,-9.214206,-9.849175,-9.854437,-9.101311,-9.2357855,-9.865604,-9.728037,-7.0131264,-6.810229,2022-04-22,AAPL,-0.028215516
1578,-8.864462,-8.876964,-9.5563345,-9.558884,-8.808547,-8.859486,-9.560071,-9.446537,-5.941167,-6.3677964,2022-04-25,AAPL,0.0067145354
1579,-8.260904,-8.295997,-8.918164,-8.991275,-8.400948,-8.49414,-9.084598,-9.1036825,-4.840809,-5.66372,2022-04-26,AAPL,-0.038042627
1580,-8.801922,-8.771558,-9.609706,-9.392232,-9.045089,-9.099543,-10.234664,-9.407997,-5.82009,-6.6929407,2022-04-27,AAPL,-0.0014679136
1581,-8.521815,-8.574592,-9.164308,-9.26832,-8.520719,-8.896588,-8.943061,-9.586406,-5.7463727,-5.190694,2022-04-28,AAPL,0.044165697
1582,-8.587557,-8.711,-9.131699,-9.455864,-8.71929,-8.790929,-9.121629,-9.824181,-5.3438663,-6.07716,2022-04-29,AAPL,-0.03729151
1583,-8.274156,-8.234128,-8.915992,-9.02139,-8.232761,-8.436301,-8.874017,-8.98064,-4.014519,-4.604829,2022-05-02,AAPL,0.0019644503
1584,-8.147292,-8.17078,-8.8015785,-8.880872,-8.221511,-8.257023,-8.733609,-9.135894,-4.7224536,-4.9557285,2022-05-03,AAPL,0.009576686
1585,-8.686251,-8.684504,-9.349915,-9.409776,-8.826842,-8.987766,-9.556277,-9.484971,-5.9490995,-6.329827,2022-05-04,AAPL,0.04018974
1586,-8.219298,-8.21336,-8.794593,-9.046066,-8.418336,-8.395678,-9.07744,-9.146726,-4.483285,-4.4321055,2022-05-05,AAPL,-0.0573285
1587,-8.242524,-8.407963,-8.890239,-8.983266,-8.50819,-8.42716,-9.489801,-8.977725,-3.617999,-5.951282,2022-05-06,AAPL,0.004709185
