number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_D_MODEL,params_L2_REGULARIZATION,params_NUM_ENCODERS,params_NUM_HEADS,params_N_MIXTURES,state
0,,2025-03-05 14:57:50.392049,2025-03-05 14:57:50.407672,0 days 00:00:00.015623,,,,,,,,FAIL
1,-2.767261028289795,2025-03-05 15:36:45.195112,2025-03-05 16:03:51.612266,0 days 00:27:06.417154,56.0,0.4,56.0,5.7467278797199666e-06,4.0,2.0,27.0,COMPLETE
2,-2.7755324840545654,2025-03-05 16:03:51.627858,2025-03-05 16:12:07.753697,0 days 00:08:16.125839,24.0,0.4,32.0,9.766273765523508e-06,1.0,8.0,27.0,COMPLETE
3,-2.6908466815948486,2025-03-05 16:12:07.767670,2025-03-05 16:22:00.418193,0 days 00:09:52.650523,40.0,0.5,64.0,0.00010275754466773974,3.0,2.0,23.0,COMPLETE
4,-2.7765235900878906,2025-03-05 16:22:00.433814,2025-03-05 16:40:15.812925,0 days 00:18:15.379111,16.0,0.4,16.0,2.560438898632653e-05,4.0,4.0,3.0,COMPLETE
5,-2.7700417041778564,2025-03-05 16:40:15.828519,2025-03-05 16:46:37.797123,0 days 00:06:21.968604,56.0,0.0,24.0,0.00022543143329354577,1.0,6.0,25.0,COMPLETE
6,-2.7756237983703613,2025-03-05 16:46:37.812715,2025-03-05 16:58:51.327498,0 days 00:12:13.514783,16.0,0.30000000000000004,64.0,7.887243235051298e-05,1.0,6.0,19.0,COMPLETE
7,-2.776688575744629,2025-03-05 16:58:51.327498,2025-03-05 17:09:51.938165,0 days 00:11:00.610667,24.0,0.0,40.0,2.2443774489129386e-05,2.0,2.0,17.0,COMPLETE
8,-2.7094969749450684,2025-03-05 17:09:51.938165,2025-03-05 17:12:50.110856,0 days 00:02:58.172691,64.0,0.2,64.0,0.00014674595223326077,1.0,2.0,35.0,COMPLETE
9,-2.742501974105835,2025-03-05 17:12:50.126454,2025-03-05 17:35:40.305691,0 days 00:22:50.179237,40.0,0.5,40.0,0.0007387790839631933,3.0,4.0,11.0,COMPLETE
10,-2.7498738765716553,2025-03-05 17:35:40.319194,2025-03-05 18:53:13.386716,0 days 01:17:33.067522,32.0,0.2,56.0,0.00022477688011080898,4.0,6.0,37.0,COMPLETE
11,-2.7764978408813477,2025-03-05 17:56:43.150242,2025-03-05 18:15:52.205328,0 days 00:19:09.055086,8.0,0.2,48.0,3.786518504557536e-06,1.0,2.0,23.0,COMPLETE
12,-2.7780654430389404,2025-03-05 18:16:07.034135,2025-03-05 18:35:36.019968,0 days 00:19:28.985833,32.0,0.0,40.0,1.4243842440500462e-06,2.0,4.0,13.0,COMPLETE
13,-2.780733585357666,2025-03-05 18:35:49.020397,2025-03-05 18:57:55.775993,0 days 00:22:06.755596,32.0,0.0,40.0,1.1107471988747846e-06,2.0,4.0,13.0,COMPLETE
14,-2.7802894115448,2025-03-05 18:53:13.402338,2025-03-05 19:09:10.608166,0 days 00:15:57.205828,32.0,0.0,40.0,1.0098278937177091e-06,2.0,4.0,13.0,COMPLETE
15,-2.7821571826934814,2025-03-05 18:58:06.033693,2025-03-05 19:21:20.997616,0 days 00:23:14.963923,32.0,0.0,40.0,1.0085685188664814e-06,2.0,4.0,9.0,COMPLETE
16,-2.702620029449463,2025-03-05 19:09:10.639405,2025-03-05 19:20:49.119467,0 days 00:11:38.480062,48.0,0.7,32.0,1.1278572256951432e-06,2.0,4.0,5.0,COMPLETE
17,-2.779785394668579,2025-03-05 19:20:49.152522,2025-03-05 20:32:06.093133,0 days 01:11:16.940611,24.0,0.1,48.0,2.526685719174989e-06,3.0,8.0,9.0,COMPLETE
18,-2.7771666049957275,2025-03-05 19:21:30.355344,2025-03-05 20:05:35.152261,0 days 00:44:04.796917,48.0,0.1,48.0,2.81480681918302e-06,3.0,8.0,7.0,COMPLETE
