,GARCH,LSTM MDN pireg,LSTM MDN dynamic,LSTM MDN l2,LSTM MDN embedded-small,LSTM MDN 3,LSTM MDN rv-data,LSTM MDN rv-data-2,LSTM MDN rv-data-3,LSTM MAF v2,LSTM MAF v3,LSTM MAF v4,LSTM MDN MAF Ensemble,Ensemble of everything
PICP,11,5,1,4,14,3,6,2,9,10,13,12,8,7
Mean width (MPIW),7,10,14,12,1,11,8,13,4,5,3,2,9,6
Interval Score,11,6,1,3,14,4,5,2,7,10,13,12,8,9
Correlation (vol. vs. errors),14,11,12,10,13,9,5,3,2,7,1,6,8,4
NLL,5,6,8,7,9,4,3,2,1,13,14,12,11,10
QL,7,9,14,12,1,11,8,13,4,5,2,3,10,6
CRPS,,,,,,4,3,2,1,,,,,
Lopez Loss,11,7,1,4,12,3,6,2,5,10,14,13,9,8
RMSE,3,4,1,5,12,2,8,6,7,11,14,13,9,10
UC Pass %,10,5,1,4,14,3,6,2,9,10,12,12,7,8
Ind Pass %,1,1,1,1,12,11,1,1,1,13,1,14,9,9
CC Pass %,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHR Pass %,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rank Sum,82,66,56,64,104,67,61,50,52,96,89,101,90,79
