,GARCH,LSTM MDN pireg,LSTM MDN dynamic,LSTM MDN l2,LSTM MDN embedded-small,LSTM MDN 3,LSTM MDN rv-data,LSTM MDN rv-data-2,LSTM MAF v2,LSTM MAF v3,LSTM MAF v4,LSTM MDN MAF Ensemble,Ensemble of everything
PICP,12,4,7,3,13,2,5,1,6,11,9,8,10
Mean width (MPIW),3,9,13,11,1,10,8,12,7,6,5,4,2
Interval Score,12,5,9,3,11,4,2,1,6,13,10,7,8
Correlation (vol. vs. errors),13,10,11,9,12,8,4,2,6,1,5,7,3
NLL,4,5,7,6,8,3,2,1,12,13,11,10,9
QL,3,9,13,11,1,10,8,12,7,5,6,4,2
CRPS,,,,,,3,2,1,,,,,
Lopez Loss,13,6,1,4,10,3,5,2,7,12,11,9,8
RMSE,3,4,1,5,11,2,7,6,10,13,12,8,9
UC Pass %,12,4,6,1,13,3,7,2,5,11,10,8,9
Ind Pass %,1,1,1,1,10,9,1,1,11,1,13,11,8
CC Pass %,1,1,1,1,13,8,1,1,11,7,10,11,9
CHR Pass %,7,1,1,1,13,7,1,1,9,6,12,9,9
Rank Sum,84,59,71,56,116,72,53,43,97,99,114,96,86
