,GARCH,LSTM MDN pireg,LSTM MDN dynamic,LSTM MDN l2,LSTM MDN embedded-small,LSTM MDN 3,LSTM MDN rv-data,LSTM MAF v2,LSTM MAF v3,LSTM MAF v4,LSTM MDN MAF Ensemble,Ensemble of everything
PICP,2,8,11,5,12,4,3,10,1,9,6,7
Mean width (MPIW),8,2,12,4,1,5,3,11,10,9,7,6
Interval Score,8,5,10,3,9,6,1,7,12,11,4,2
Correlation (vol. vs. errors),12,8,11,7,10,9,2,5,1,4,6,3
NLL,3,4,6,5,7,2,1,11,12,10,9,8
QL,8,2,12,4,1,5,3,11,9,10,7,6
CRPS,,,,,,2,1,,,,,
Lopez Loss,6,11,1,10,12,3,7,2,9,8,5,4
RMSE,3,4,1,5,10,2,6,9,12,11,7,8
UC Pass %,1,6,12,3,10,8,4,11,1,8,6,5
Ind Pass %,1,5,9,4,3,11,2,12,10,7,8,6
CC Pass %,1,6,9,4,11,12,2,10,7,5,8,3
CHR Pass %,1,8,11,3,10,9,2,12,6,5,7,4
Rank Sum,54,69,105,57,96,78,37,111,90,97,80,62
