,GARCH,LSTM MDN pireg,LSTM MDN dynamic,LSTM MDN l2,LSTM MDN embedded-small,LSTM MDN nll-crps-mix,LSTM MAF v2,LSTM MAF v3,LSTM MAF v4,LSTM MDN MAF Ensemble,Ensemble of everything
PICP,5,2,1,3,6,11,9,4,8,7,10
Mean width (MPIW),5,2,4,1,3,11,9,8,7,6,10
Interval Score,5,1,3,2,7,11,6,10,8,4,9
Correlation (vol. vs. errors),10,6,8,2,11,9,4,7,5,1,3
NLL,5,1,3,2,4,11,8,10,9,6,7
QL,6,3,4,1,2,11,9,5,8,7,10
CRPS,,,,,,,,,,,
Lopez Loss,4,10,8,11,9,1,3,6,7,5,2
RMSE,2,3,1,4,9,5,8,11,10,6,7
UC Pass %,3,1,4,2,6,11,9,5,8,7,10
Ind Pass %,7,5,8,8,6,10,2,11,4,1,3
CC Pass %,3,1,4,2,5,11,9,6,8,7,10
CHR Pass %,3,1,4,2,5,11,9,6,8,7,10
Rank Sum,58,36,52,40,73,113,85,89,90,64,91
