,GARCH,GARCH-GJR,Mini LSTM,Mini LSTM w RVOL,Mini LSTM w RVOL & VIX,Monte Carlo LSTM w RVOL & VIX,LSTM with MAF non-linear flows,LSTM MDN v1,LSTM MDN v2,LSTM MDN vbig,LSTM FFNN MDN v2,LSTM FFNN MDN w MC Dropout
PICP,7,2,1,2,7,12,2,5,11,7,6,10
Mean width (MPIW),5,2,8,9,7,1,6,3,4,10,11,12
Interval Score,1,2,4,3,6,10,7,5,8,11,9,12
Correlation (vol. vs. errors),9,4,11,10,1,7,8,6,3,5,2,12
NLL,7,4,9,8,5,11,10,1,2,3,6,12
QL,5,2,8,9,7,1,6,3,4,10,11,12
CRPS,5,2,8,9,3,6,11,4,1,10,7,12
Lopez Loss,9,5,8,7,10,12,11,6,4,1,2,3
RMSE,3,3,3,3,3,3,12,9,1,10,11,2
Sign accuracy,1,1,1,1,1,1,8,8,11,8,12,7
Rank Sum,52,27,61,61,50,64,81,50,49,75,77,94
