,GARCH,LSTM MDN pireg,LSTM MDN dynamic,LSTM MDN l2,LSTM MDN embedded-small,LSTM MAF v2,LSTM MAF v3,LSTM MAF v4,LSTM MDN MAF Ensemble,Ensemble of everything
PICP,6,9,5,7,10,8,4,3,1,2
Mean width (MPIW),4,1,7,2,3,10,9,8,5,6
Interval Score,7,3,5,1,9,6,10,8,2,4
Correlation (vol. vs. errors),9,3,8,2,10,5,7,6,1,4
NLL,5,1,3,2,4,8,10,9,7,6
QL,4,1,8,2,3,10,7,9,5,6
CRPS,,,,,,,,,,
Lopez Loss,6,10,2,5,8,1,9,7,4,3
RMSE,2,3,1,4,8,7,10,9,5,6
UC Pass %,6,8,9,5,10,7,4,2,1,3
Ind Pass %,1,3,4,2,8,9,10,7,6,5
CC Pass %,6,9,8,5,10,3,7,1,2,4
CHR Pass %,5,9,8,6,10,4,7,1,2,3
Rank Sum,61,60,68,43,93,78,94,70,41,52
