,GARCH,LSTM MDN pireg,LSTM MDN dynamic,LSTM MDN l2,LSTM MDN embedded-small,LSTM MDN 3,LSTM MDN rv-data,LSTM MDN rv-data-2,LSTM MAF v2,LSTM MAF v3,LSTM MAF v4,LSTM MDN MAF Ensemble,Ensemble of everything,Winner
PICP,0.9691235059760956,0.9686586985391766,0.9806108897742364,0.9691899070385126,0.950132802124834,0.9713811420982735,0.9623574666849842,0.9690204698447589,0.9773572377158034,0.9696547144754316,0.9729747675962815,0.9739043824701196,0.9725236983102075,LSTM MDN MAF Ensemble
PICP Miss,0.005876494023904333,0.006341301460823345,-0.005610889774236405,0.005810092961487379,0.024867197875166003,0.0036188579017264466,0.012642533315015747,0.005979530155241108,-0.0023572377158034286,0.005345285524568366,0.0020252324037184355,0.0010956175298804105,0.002476301689792515,LSTM MDN MAF Ensemble
Mean width (MPIW),0.0766209954170247,0.07435551345664101,0.08547530874722346,0.07523111481438224,0.06624997432313717,0.07639348353802858,0.07009250959979497,0.07385354108684457,0.0817658509564391,0.08087930925676508,0.07993431620336915,0.07807232891795368,0.07641247659053343,LSTM MDN embedded-small
Interval Score,0.11191796306601888,0.10966224712442417,0.11122485627221347,0.10955352568201672,0.11662524870823546,0.10918070997087582,0.10947007719682678,0.10749581553443716,0.10920595307960615,0.1156873894511395,0.1120620016793279,0.10886951979855043,0.10841415180841896,LSTM MDN rv-data-2
Correlation (vol. vs. errors),0.29078520874204783,0.3248615900077845,0.30520127033216315,0.32967249148114586,0.30814279967441416,0.32058214447473665,0.3459529748838553,0.35204192448263893,0.33362734652880144,0.35276544997734155,0.3347078168707375,0.3308411037208025,0.34317796251264393,LSTM MAF v3
NLL,-2.7030404609542478,-2.5935215189482976,-2.590202372237445,-2.5935009287508146,-2.5522656758570994,-2.7664210982952677,-2.7715342407430725,-2.7783275056257537,-2.2062300981824015,-2.1103188644066995,-2.348306861682084,-2.3998758085653495,-2.5191368157540257,LSTM MDN rv-data-2
QL,-0.025999660759266983,-0.024858438352840958,-0.030435328405176192,-0.0252858423410152,-0.020687696209624597,-0.025885846790687537,-0.022747784755269493,-0.02462826497579623,-0.02850630320933564,-0.02684471293118511,-0.027241774154423293,-0.026700597033452494,-0.02586500860730147,LSTM MDN embedded-small
CRPS,,,,,,0.004801001005980744,0.0047772774596339775,0.0043094502066396345,,,,,,LSTM MDN rv-data-2
Lopez Loss,0.017074173008221318,0.01873462648996308,0.010963296860328476,0.018203002654675383,0.028364726011021628,0.016143953589722933,0.0209923007683212,0.01694057806489258,0.012955799139217062,0.017738424019295543,0.017406418395288614,0.015214281127407834,0.0154798841488411,LSTM MDN dynamic
RMSE,0.017386700625418628,0.01739250181375318,0.017370451522466298,0.017407266419345962,0.017532793840804785,0.017385021713320258,0.017418948665394337,0.017413102235892236,0.017498262724508936,0.01912365723035617,0.017958706108851835,0.017426291767510208,0.017468980754561395,LSTM MDN dynamic
Sign accuracy,0.003054448871181939,0.5136122177954847,0.5205843293492696,0.5096281540504648,0.500996015936255,0.5099601593625498,0.4934926958831341,0.49050464807436917,0.500996015936255,0.5108897742363878,0.5044488711819389,0.5129482071713147,0.49800796812749004,LSTM MDN dynamic
UC Pass %,83.33333333333334,70.0,70.0,83.33333333333334,26.666666666666668,80.0,55.172413793103445,72.41379310344827,93.33333333333333,80.0,90.0,90.0,89.65517241379311,LSTM MAF v2
Ind Pass %,100.0,85.71428571428571,100.0,85.71428571428571,84.0,85.71428571428571,100.0,90.9090909090909,77.77777777777779,92.85714285714286,84.61538461538461,75.0,80.0,GARCH
CC Pass %,88.23529411764706,78.57142857142857,80.0,92.85714285714286,16.0,78.57142857142857,70.58823529411765,72.72727272727273,77.77777777777779,85.71428571428571,100.0,83.33333333333334,70.0,LSTM MAF v4
CHR Pass %,82.35294117647058,50.0,60.0,71.42857142857143,16.0,57.14285714285714,52.94117647058824,54.54545454545454,66.66666666666666,78.57142857142857,76.92307692307693,66.66666666666666,60.0,GARCH
