,GARCH,LSTM MDN pireg,LSTM MDN dynamic,LSTM MDN l2,LSTM MDN embedded-small,LSTM MDN 3,LSTM MDN rv-data,LSTM MAF v2,LSTM MAF v3,LSTM MAF v4,LSTM MDN MAF Ensemble,Ensemble of everything,Winner
PICP,0.9521248339973439,0.9438247011952191,0.9660026560424967,0.9448871181938912,0.9313413014608234,0.9544488711819389,0.946489902459129,0.9638778220451527,0.950597609561753,0.9569057104913679,0.9553784860557769,0.955488391262536,LSTM MAF v3
PICP Miss,-0.002124833997343978,0.006175298804780849,-0.016002656042496732,0.005112881806108804,0.018658698539176566,-0.004448871181938929,0.003510097540870949,-0.013877822045152755,-0.0005976095617530319,-0.0069057104913679,-0.005378486055776954,-0.005488391262536085,LSTM MAF v3
Mean width (MPIW),0.06700018235341668,0.06224759316262329,0.07257253903188149,0.063305292806896,0.060224843852761126,0.06613227512791328,0.06294445906805285,0.07150520089825738,0.07072841265228919,0.06991377244397967,0.06687639703044033,0.0664826947462843,LSTM MDN embedded-small
Interval Score,0.09182061371789718,0.08959263117673441,0.09220440385989509,0.08955796997051209,0.09211212421023732,0.08987963760874397,0.08891272806642884,0.09104826339527868,0.09622134520621368,0.0926988870026673,0.08959100614924635,0.08949134755140159,LSTM MDN rv-data
Correlation (vol. vs. errors),0.29078520874204805,0.32772715907462013,0.3070973395575754,0.3311344675967003,0.3081379264209877,0.3192634791740847,0.3454138133941022,0.333767489287875,0.35276117293807474,0.3348968597874458,0.33234587979311414,0.3411223650557726,LSTM MAF v3
NLL,-2.7030404609542478,-2.5935215189482976,-2.590202372237445,-2.5935009287508146,-2.5522656758570994,-2.7664210982952677,-2.7715342407430725,-2.2062300981824015,-2.1103188644066995,-2.348306861682084,-2.3998758085653495,-2.4932177467668533,LSTM MDN rv-data
QL,-0.02118925422746297,-0.018793901495497638,-0.0239721286958452,-0.01927321614359696,-0.017617319860203935,-0.02065307889659534,-0.019155271884649848,-0.023379116044451947,-0.02176852158792692,-0.02223233499386668,-0.02112218006416557,-0.020893526463653625,LSTM MDN embedded-small
CRPS,,,,,,0.004801001005980744,0.0047772774596339775,,,,,,LSTM MDN rv-data
Lopez Loss,0.02577546503094712,0.03128752583858331,0.01880141412659113,0.028630466711317144,0.034408700298359685,0.023383838548944304,0.027235755330588675,0.020660836053695668,0.028432214298933278,0.028299334570848704,0.02524359517595309,0.02384882807473434,LSTM MDN dynamic
RMSE,0.017386700625418628,0.01739250181375318,0.017370451522466298,0.017407266419345962,0.017532793840804785,0.017385021713320258,0.017418948665394337,0.017498262724508936,0.01912365723035617,0.017958706108851835,0.017426291767510208,0.01748331160177366,LSTM MDN dynamic
Sign accuracy,0.003054448871181939,0.5136122177954847,0.5205843293492696,0.5096281540504648,0.500996015936255,0.5099601593625498,0.4934926958831341,0.500996015936255,0.5108897742363878,0.5044488711819389,0.5129482071713147,0.498539176626826,LSTM MDN dynamic
UC Pass %,90.0,76.66666666666667,43.333333333333336,86.66666666666667,63.33333333333333,73.33333333333333,86.20689655172413,60.0,90.0,73.33333333333333,76.66666666666667,79.3103448275862,GARCH
Ind Pass %,100.0,92.0,86.66666666666667,92.3076923076923,92.85714285714286,77.27272727272727,95.45454545454545,70.0,83.33333333333334,88.88888888888889,86.95652173913044,90.47619047619048,GARCH
CC Pass %,92.3076923076923,80.0,66.66666666666666,84.61538461538461,64.28571428571429,63.63636363636363,86.36363636363636,65.0,79.16666666666666,83.33333333333334,78.26086956521739,85.71428571428571,GARCH
CHR Pass %,88.46153846153845,68.0,53.333333333333336,76.92307692307693,53.57142857142857,59.09090909090909,77.27272727272727,50.0,70.83333333333334,72.22222222222221,69.56521739130434,76.19047619047619,GARCH
