,GARCH,LSTM with MAF non-linear flows,Winner
PICP,0.9479768786127167,0.9664739884393063,GARCH
PICP Miss,0.002023121387283222,-0.016473988439306364,GARCH
Mean width (MPIW),0.029345869214381815,0.031460422366671854,GARCH
Interval Score,0.04008903998428864,0.03965616562143668,LSTM with MAF non-linear flows
Correlation (vol. vs. errors),0.1375050969678696,0.12166698252520318,GARCH
NLL,-3.5164173689110214,-3.503662757322888,GARCH
QL,-0.009519427083343109,-0.010588111144992326,GARCH
CRPS,0.0038749474757235796,0.003908093900334244,GARCH
Lopez Loss,0.025436382229241248,0.020812024307816986,LSTM with MAF non-linear flows
RMSE,0.007270197455718486,0.007270049227792399,LSTM with MAF non-linear flows
Sign accuracy,0.003468208092485549,0.545664739884393,LSTM with MAF non-linear flows
