Reference;Asset category;Asset;Input;Horizon;Predicted;Prob. AI Model;Composed with ML Model;Composed with Trad. model;Use of UQ;UQ Quality Assessment;Assessment Criteria UQ;Code
\textcite{Daniali2021};Volatility index;VIX;History, Technical;1 day;Price, Volatility;Deep Convolutional Neural Network (DCNN);N/A;Conditional Variance model;Not used;No;N/A;No
\textcite{arian2022encoded};Portfolio, Stocks;Frankfurt Stock Exchange(FSE) stocks portfolio, London Stock Exchange(LSE) stocks portfolio, S\&P500 Equity Index;History, Technical;1 day;Distributional Forecast, Financial Risk Measure;Variational Auto-encoder (VAE);N/A;N/A;Aleatoric (Volatility), Financial interpretation (e.g. VaR);Yes;Christoffersen’s Test, Conditional Coverage Test, Independence Test, Kupiec’s test, Lopez' loss function, Unconditional Coverage Test;Yes
\textcite{jang2018generative};Options;S\&P 100 American put options;Technical;1 day, 1 week;Price;Generative Bayesian Neural Network (Gen-BNN);N/A;N/A;Not used;No;N/A;No
\textcite{sher2023exploiting};Stocks;NYSE stock market | Taiwan Semiconductor Manufacturing Company Limited (TSM), NasdaqGS | Apple Inc. (AAPL), NasdaqGS | Broadcom Inc. (AVGO), NasdaqGS | Microsoft Corporation (MSFT), NasdaqGS | NVIDIA Corporation (NVDA);History;Not mentioned;Category;Hidden Markov Model (HMM);N/A;N/A;Not used;No;N/A;Yes
\textcite{Fatouros2023DeepVaR};Portfolio;AUDUSD, EURUSD, GBPUSD, USDJPY;History, Technical;1 day;Distributional Forecast, Financial Risk Measure;DeepAR (based on autoregressive RNN);N/A;N/A;Financial interpretation (e.g. VaR);Yes;Christoffersen’s Test, Conditional Coverage Test, Dynamic Quantile (DQ), Firm Loss, Quadratic Loss (QL), Smooth Loss, Unconditional Coverage Test;Yes
\textcite{lee2021estimation};Stock indices;NASDAQ-100 Future Index;History, Technical;1 week;Distributional Forecast;Conditional Generative Adversarial Network (CGAN);N/A;N/A;Non-distinguishing (confidence);Yes;Correlation between uncertainty and prediction error, Portfolio construction and evaluation;Yes
\textcite{Horenko2020};Stock indices;DJI, FTSE, Hang Seng Index (HSI), N225, SMI, SPX, STOXX;History, Technical;1 day;Distributional Forecast, Financial Risk Measure;TV-Entropy;N/A;N/A;Aleatoric (Volatility), Financial interpretation (e.g. VaR);Yes;Bayesian Information Criteria (BIC), Coverage probabillty, Kupiec’s test, negative log-likelihood (NLL);Yes
\textcite{Almeida2024RiskForecasting};Cryptocurrency;ETH - portfolio;History, Technical;1 day;Distributional Forecast, Financial Risk Measure;DeepAR (based on autoregressive RNN);N/A;N/A;Financial interpretation (e.g. VaR);Yes;Continuous Ranked Probability Score (CRPS), Elicitability score for VaR;No
\textcite{Law2017Practical};Bonds, Commodities, Credit Default Swap (CDS) Spreads, Stock indices;Bond Yield | GB10YR | UK Gilt 10YR, Bond Yield | US10YR | US Treasury 10YR, CDS Spread | IBM-CDS | INTERNATIONAL BUSINESS MACHINES CORPORATION 5YR, CDS Spread | WMT-CDS | WAL-MART STORES INC. 5YR, Commodity Futures | BRENT | ICE BRENT Crude Oil Front Month Futures, Commodity Futures | GOLD | CME GOLD Front Month Futures, Equity Index | FTSE | FTSE 100, Equity Index | SPX | S\&P 500;History;1 day;Distributional Forecast;Bayesian Support Vector Regression (B-SVR);N/A;N/A;Non-distinguishing (confidence);Yes;Correlation between uncertainty and prediction error;No
\textcite{cocco2021predictions};Cryptocurrency;Bitcoin (BTC), Ethereum (ETH);Technical;1 day, 1 month, 2 weeks;Distributional Forecast;BNN-SVR, Bayesian Neural Network (BNN);N/A;N/A;Non-distinguishing (confidence);No;N/A;No
\textcite{magris2023bayesian};Stocks;NASDAQ Nordic Helsinki exchange assets;History, Technical;Short (milliseconds);Category;Bayesian temporal attention augmented bilinear network (B-TABL);N/A;N/A;Non-distinguishing (confidence);Yes;Expected Calibration Distance (ECD), Expected Calibration Error (ECE);No
\textcite{Papaioannou2022gpr};Forex;AUD/USD, CAD/USD, CHF/USD, DKK/USD, EUR/USD, GBP/USD, JPY/USD, NOK/ USD, NZD/USD, SEK/USD;History;1 day;Price;Gaussian Process Regression (GPR);N/A;N/A;Not used;No;N/A;No
\textcite{Li2024DeepAR};Stocks;Chinese company stocks;History;Flexible;Distributional Forecast;DeepAR with attention (DeepARA);N/A;N/A;Non-distinguishing (confidence);Yes;Entropy of probability distribution;No
\textcite{Sharma2021};Stocks;Chinese company stocks, India stocks, UK stocks, USA stocks;History;1 day;Category, Distributional Forecast;Recurrent Dictionary Learing (RDL);N/A;N/A;Non-distinguishing (confidence);Yes;Log-loss;No
